"year","county","route","count"
1999,"orange","orng-01",5
2000,"orange","orng-01",10
2001,"orange","orng-01",7
2002,"orange","orng-01",12
2003,"orange","orng-01",16
2004,"orange","orng-01",12
2005,"orange","orng-01",19
2006,"orange","orng-01",16
2007,"orange","orng-01",15
2008,"orange","orng-01",16
2009,"orange","orng-01",12
2010,"orange","orng-01",11
2011,"orange","orng-01",17
2012,"orange","orng-01",15
2013,"orange","orng-01",13
2014,"orange","orng-01",17
2015,"orange","orng-01",16
2016,"orange","orng-01",20
2017,"orange","orng-01",20
2018,"orange","orng-01",20
2019,"orange","orng-01",26
2020,"orange","orng-01",14
2021,"orange","orng-01",19
2022,"orange","orng-01",20
2023,"orange","orng-01",9
2024,"orange","orng-01",11
1999,"orange","orng-02",16
2000,"orange","orng-02",7
2001,"orange","orng-02",32
2002,"orange","orng-02",12
2003,"orange","orng-02",20
2004,"orange","orng-02",12
2005,"orange","orng-02",27
2006,"orange","orng-02",24
2007,"orange","orng-02",12
2008,"orange","orng-02",16
2009,"orange","orng-02",15
2010,"orange","orng-02",10
2011,"orange","orng-02",21
2012,"orange","orng-02",18
2013,"orange","orng-02",12
2014,"orange","orng-02",16
2015,"orange","orng-02",23
2016,"orange","orng-02",14
2017,"orange","orng-02",7
2018,"orange","orng-02",15
2019,"orange","orng-02",8
2020,"orange","orng-02",7
2021,"orange","orng-02",6
2022,"orange","orng-02",9
2023,"orange","orng-02",7
2024,"orange","orng-02",16
1999,"orange","orng-03",13
2000,"orange","orng-03",15
2001,"orange","orng-03",18
2002,"orange","orng-03",13
2003,"orange","orng-03",12
2004,"orange","orng-03",19
2005,"orange","orng-03",20
2006,"orange","orng-03",26
2007,"orange","orng-03",24
2008,"orange","orng-03",19
2009,"orange","orng-03",17
2011,"orange","orng-03",10
2014,"orange","orng-03",5
2015,"orange","orng-03",11
2016,"orange","orng-03",5
2017,"orange","orng-03",13
2018,"orange","orng-03",6
2019,"orange","orng-03",29
2020,"orange","orng-03",14
2021,"orange","orng-03",29
2022,"orange","orng-03",23
2023,"orange","orng-03",19
2024,"orange","orng-03",19
1999,"orange","orng-04",25
2000,"orange","orng-04",29
2001,"orange","orng-04",33
2002,"orange","orng-04",29
2003,"orange","orng-04",36
2004,"orange","orng-04",29
2005,"orange","orng-04",26
2006,"orange","orng-04",28
2007,"orange","orng-04",26
2008,"orange","orng-04",21
2009,"orange","orng-04",27
2010,"orange","orng-04",32
2011,"orange","orng-04",59
2013,"orange","orng-04",35
2014,"orange","orng-04",36
2015,"orange","orng-04",41
2016,"orange","orng-04",30
2017,"orange","orng-04",25
2018,"orange","orng-04",37
2019,"orange","orng-04",33
2020,"orange","orng-04",32
2021,"orange","orng-04",24
2022,"orange","orng-04",26
2023,"orange","orng-04",27
2024,"orange","orng-04",38
1999,"orange","orng-05",24
2000,"orange","orng-05",21
2001,"orange","orng-05",26
2002,"orange","orng-05",21
2003,"orange","orng-05",18
2004,"orange","orng-05",28
2005,"orange","orng-05",31
2006,"orange","orng-05",32
2007,"orange","orng-05",36
2008,"orange","orng-05",33
2009,"orange","orng-05",23
2010,"orange","orng-05",30
2011,"orange","orng-05",16
2012,"orange","orng-05",15
2013,"orange","orng-05",25
2014,"orange","orng-05",19
2015,"orange","orng-05",26
2016,"orange","orng-05",30
2017,"orange","orng-05",31
2018,"orange","orng-05",33
2019,"orange","orng-05",22
2020,"orange","orng-05",23
2021,"orange","orng-05",21
2022,"orange","orng-05",26
2023,"orange","orng-05",22
2024,"orange","orng-05",19
1999,"orange","orng-06",30
2000,"orange","orng-06",38
2001,"orange","orng-06",46
2002,"orange","orng-06",35
2003,"orange","orng-06",35
2004,"orange","orng-06",31
2005,"orange","orng-06",29
2006,"orange","orng-06",38
2007,"orange","orng-06",30
2008,"orange","orng-06",19
2009,"orange","orng-06",20
2010,"orange","orng-06",17
2011,"orange","orng-06",31
2012,"orange","orng-06",21
2013,"orange","orng-06",25
2014,"orange","orng-06",30
2015,"orange","orng-06",22
2016,"orange","orng-06",33
2017,"orange","orng-06",24
2019,"orange","orng-06",28
2020,"orange","orng-06",53
2021,"orange","orng-06",30
2022,"orange","orng-06",33
2023,"orange","orng-06",27
2024,"orange","orng-06",29
