"year","county","route","route_num","count"
1999,"orange","orng-01",1,1
2000,"orange","orng-01",1,2
2001,"orange","orng-01",1,4
2002,"orange","orng-01",1,0
2003,"orange","orng-01",1,0
2004,"orange","orng-01",1,2
2005,"orange","orng-01",1,0
2006,"orange","orng-01",1,0
2007,"orange","orng-01",1,0
2008,"orange","orng-01",1,0
2009,"orange","orng-01",1,0
2010,"orange","orng-01",1,0
2011,"orange","orng-01",1,1
2012,"orange","orng-01",1,1
2013,"orange","orng-01",1,0
2014,"orange","orng-01",1,1
2015,"orange","orng-01",1,2
2016,"orange","orng-01",1,1
2017,"orange","orng-01",1,1
2018,"orange","orng-01",1,0
2019,"orange","orng-01",1,1
2020,"orange","orng-01",1,2
2021,"orange","orng-01",1,0
2022,"orange","orng-01",1,0
2023,"orange","orng-01",1,0
2024,"orange","orng-01",1,0
1999,"orange","orng-02",2,0
2000,"orange","orng-02",2,1
2001,"orange","orng-02",2,0
2002,"orange","orng-02",2,2
2003,"orange","orng-02",2,2
2004,"orange","orng-02",2,2
2005,"orange","orng-02",2,2
2006,"orange","orng-02",2,0
2007,"orange","orng-02",2,2
2008,"orange","orng-02",2,0
2009,"orange","orng-02",2,1
2010,"orange","orng-02",2,1
2011,"orange","orng-02",2,0
2012,"orange","orng-02",2,0
2013,"orange","orng-02",2,1
2014,"orange","orng-02",2,0
2015,"orange","orng-02",2,1
2016,"orange","orng-02",2,0
2017,"orange","orng-02",2,0
2018,"orange","orng-02",2,0
2019,"orange","orng-02",2,0
2020,"orange","orng-02",2,0
2021,"orange","orng-02",2,1
2022,"orange","orng-02",2,0
2023,"orange","orng-02",2,1
2024,"orange","orng-02",2,5
1999,"orange","orng-03",3,11
2000,"orange","orng-03",3,10
2001,"orange","orng-03",3,5
2002,"orange","orng-03",3,2
2003,"orange","orng-03",3,2
2004,"orange","orng-03",3,0
2005,"orange","orng-03",3,0
2006,"orange","orng-03",3,1
2007,"orange","orng-03",3,1
2008,"orange","orng-03",3,0
2009,"orange","orng-03",3,2
2011,"orange","orng-03",3,0
2014,"orange","orng-03",3,1
2015,"orange","orng-03",3,0
2016,"orange","orng-03",3,0
2017,"orange","orng-03",3,0
2018,"orange","orng-03",3,0
2019,"orange","orng-03",3,0
2020,"orange","orng-03",3,2
2021,"orange","orng-03",3,0
2022,"orange","orng-03",3,5
2023,"orange","orng-03",3,2
2024,"orange","orng-03",3,1
1999,"orange","orng-04",4,7
2000,"orange","orng-04",4,5
2001,"orange","orng-04",4,4
2002,"orange","orng-04",4,5
2003,"orange","orng-04",4,3
2004,"orange","orng-04",4,1
2005,"orange","orng-04",4,2
2006,"orange","orng-04",4,5
2007,"orange","orng-04",4,1
2008,"orange","orng-04",4,4
2009,"orange","orng-04",4,0
2010,"orange","orng-04",4,1
2011,"orange","orng-04",4,2
2013,"orange","orng-04",4,7
2014,"orange","orng-04",4,0
2015,"orange","orng-04",4,0
2016,"orange","orng-04",4,0
2017,"orange","orng-04",4,2
2018,"orange","orng-04",4,0
2019,"orange","orng-04",4,4
2020,"orange","orng-04",4,0
2021,"orange","orng-04",4,1
2022,"orange","orng-04",4,4
2023,"orange","orng-04",4,8
2024,"orange","orng-04",4,6
1999,"orange","orng-05",5,15
2000,"orange","orng-05",5,5
2001,"orange","orng-05",5,10
2002,"orange","orng-05",5,7
2003,"orange","orng-05",5,5
2004,"orange","orng-05",5,5
2005,"orange","orng-05",5,6
2006,"orange","orng-05",5,3
2007,"orange","orng-05",5,9
2008,"orange","orng-05",5,10
2009,"orange","orng-05",5,4
2010,"orange","orng-05",5,7
2011,"orange","orng-05",5,6
2012,"orange","orng-05",5,10
2013,"orange","orng-05",5,6
2014,"orange","orng-05",5,7
2015,"orange","orng-05",5,7
2016,"orange","orng-05",5,10
2017,"orange","orng-05",5,9
2018,"orange","orng-05",5,5
2019,"orange","orng-05",5,11
